"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"2895",39,0.801106770833333,0.82177734375,1597372586,4.33252353104763e-06,1.30171820273972e-05,96,"point0156"
"2896",40,0.82177734375,0.842447916666667,1597429567,5.23831022292143e-06,1.55615925905295e-05,96,"point0156"
"2897",41,0.842447916666667,0.863118489583333,1597490812,6.06664252700284e-06,1.82737749128137e-05,96,"point0156"
"2898",42,0.863118489583333,0.8837890625,1597556071,6.98206576998928e-06,2.104276609316e-05,96,"point0156"
"2899",43,0.8837890625,0.904459635416667,1597625036,8.03133298177272e-06,2.39213950408157e-05,96,"point0156"
"2900",44,0.904459635416667,0.925130208333333,1597697626,9.03967611520784e-06,2.69450665655313e-05,96,"point0156"
"2901",45,0.925130208333333,0.94580078125,1597773557,1.00591587397503e-05,3.00408973998856e-05,96,"point0156"
"2902",46,0.94580078125,0.966471354166667,1597852706,1.10444589154213e-05,3.31656410708092e-05,96,"point0156"
"2903",47,0.966471354166667,0.987141927083333,1597934835,1.23164090837236e-05,3.64473453373648e-05,96,"point0156"
"2904",48,0.987141927083333,1.0078125,1598013473,4.71835505777563e-07,1.49018114825594e-06,96,"point0156"
"2905",49,1.0078125,1.02848307291667,1597956165,3.03088495456905e-06,9.18802288651932e-06,96,"point0156"
"2906",50,1.02848307291667,1.04915364583333,1597876565,2.71583121502772e-06,8.28146585263312e-06,96,"point0156"
"2907",51,1.04915364583333,1.06982421875,1597801884,2.45630553763476e-06,7.44845010558493e-06,96,"point0156"
"2908",52,1.06982421875,1.09049479166667,1597731780,2.20229867409216e-06,6.65844117975212e-06,96,"point0156"
"2909",53,1.09049479166667,1.11116536458333,1597666335,1.96840642274765e-06,5.9688481997e-06,96,"point0156"
"2910",54,1.11116536458333,1.1318359375,1597604932,1.72929037489666e-06,5.32656940777088e-06,96,"point0156"
"2911",55,1.1318359375,1.15250651041667,1597547653,1.54321833178983e-06,4.73514273835463e-06,96,"point0156"
"2912",56,1.15250651041667,1.17317708333333,1597494186,1.35642096665833e-06,4.19636762671871e-06,96,"point0156"
"2913",57,1.17317708333333,1.19384765625,1597444346,1.20939751013793e-06,3.68013365914521e-06,96,"point0156"
